,date,region,hotel,review_positive
20,2021-11-01,부산,시그니엘 부산,친절하고
21,2021-10-01,부산,시그니엘 부산,스탭들이 모두 정말 친절했고 무료 자켓 탈취 서비스도 유용했다. 조식 종류가 다양하고 베이커리류가 특히 맛있었다.
22,2021-10-01,부산,시그니엘 부산,업그레이드해주셨는데 너무 좋았습니다
23,2021-10-01,부산,시그니엘 부산,객실 청결등 만족
24,2021-10-01,부산,시그니엘 부산,만족. 직원의 친절함.
