,date,region,hotel,review_positive
10,2021-12-01,부산,시그니엘 부산,"직원들이 모두 친절하게 해주셨고 짐을 옮겨주는 직원분이 있었는데 너무너무나도 친절하고 자세하게 알려주셔서 너무 고마웠어요. 이름을 알았더라면 더 좋았을텐데 못물어보고 후기를 남깁니다. 침실, 화장실, 식당, 라운지 전부 매우 만족이었고 가는 곳 마다 직원분들이 친절하게 해주셔서 또 꼭 다시 한번 가보고싶습니다."
11,2021-11-01,부산,시그니엘 부산,아침도 맛있고 그냥 편안하고 너무 좋았습니다. 일상으로 돌아와서도 계속 생각이 날 정도로 좋은 시간을 보낼 수 있었습니다. 최고에요 시그니엘 부산~
12,2021-12-01,부산,시그니엘 부산,모든 서비스와 시설 무엇하나 실망한게 없습니다!
13,2021-12-01,부산,시그니엘 부산,"서비스 , 서비스, 서비스, 서비스......,수영장, 침구&침대, 라운지 ♡"
14,2021-12-01,부산,시그니엘 부산,"너무너무 좋았어요  뷰, 친절, 쾌적함 어느것하나 빠짐없이 만족입니다. ㅎㅎ 태교여행으로 갔는데 잘 쉬다 왔습니다."
