region,hotel_id,hotel_name,address,hotel_link,hotel_img_link,positive_keywords,negative_keywords
서울,11,인터컨티넨탈 서울 코엑스,"서울, 강남구 봉은사로 524",https://www.booking.com/hotel/kr/coex-intercontinental-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/269685220.jpg?k=f1099774e8b0a051dfe1494da5a65b1adec9ca10e055008580ca0b149f3a544e&o=&hp=1,,
서울,12,롯데 호텔 서울,"서울, 중구 을지로 30",https://www.booking.com/hotel/kr/lotte-seoul-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/243887689.jpg?k=e7b0f1e60199b72042183e1c17aad86c4b0886bfe374406f73bf7352d1ea5342&o=&hp=1,조식 다양하고 맛있음|친절,오마카세 없음|호텔 레스토랑|물온도|주차비
서울,13,몬드리안 서울 이태원,"서울, 용산구 장문로 23",https://www.booking.com/hotel/kr/mondrian-seoul-itaewon.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/344203613.jpg?k=5f2630bd3222e9b838f5b067f462e56fcd885c36f611aa9854c52ba18641fb67&o=&hp=1,조식|디자인|예쁨|접근성|친절,더러운|올드함|부대시설|코로나때문에
서울,14,그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울 용산,"서울, 용산구 청파로 20길 83",https://www.booking.com/hotel/kr/grand-mercure-ambassador-seoul-yongsan.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=005c72cbae800021&srepoch=1645373977&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/205046495.jpg?k=f7743c170d43534ff3aa93ff57106163758b506372411abe9cec9c33a1b8e73c&o=&hp=1,,
서울,15,Millennium Hilton Seoul,"서울, 50, Sowol-ro, Jung-gu",https://www.booking.com/hotel/kr/millennium-seoul-hilton.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/232459665.jpg?k=c47f735cd343456450d1886977038cbb21360d5a99695131c234df60bcdcdf2a&o=&hp=1,종류별로|맛있어서,비지니스 호텔 느낌|작은|대기시간|오래걸리는
서울,16,노보텔 스위트 앰배서더 서울 용산,"서울, 용산구 청파로20길 83",https://www.booking.com/hotel/kr/novotel-suites-ambassador-seoul-yongsan.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/252217130.jpg?k=356051c060d63e0fbb8260e23c3c8ed0a75af54709ea63fb5d4ef4205cdc68fa&o=&hp=1,가격대비|훌륭했음|만족해요,어메니티 없음|샤워공간 좁음|핸드폰 충전 불가
서울,17,더클래식500 펜타즈 이그제큐티브 레지던스,"서울, 광진구 능동로 90",https://www.booking.com/hotel/kr/the-classic-500.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/10488668.jpg?k=08d60a414d062e1b97356b4bd1dfa24eeeeaf53ba98da9a95e4192c33eadf79c&o=&hp=1,깨끗함|역에 근접|친절함|훌륭함,객실|대기시간|웨이팅
서울,18,노보텔 앰배서더 서울 용산,"서울, 용산구 청파로20길 95",https://www.booking.com/hotel/kr/novotel-ambassador-seoul-yongsan.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/205046322.jpg?k=81bf03a67d3112bd5b30c0eb8b05917c77ca28154a850f237f256574865dd096&o=&hp=1,깔끔|청결|조식|내부시설,가성비|주차장|소음|환풍기쪽
서울,19,롯데호텔 월드,"서울, 송파구 올림픽로 240",https://www.booking.com/hotel/kr/lotte-world.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/333969450.jpg?k=0b0781fa9a6800a200c37278af605780ccae77f85fe8f21cd5b873e48b38227d&o=&hp=1,깨끗하고|한강뷰|신선했고,화장실|붐비는|어수선한|이물질
서울,20,더 웨스틴 조선 서울 호텔,"서울, 중구 소공로 106",https://www.booking.com/hotel/kr/westin-chosun-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/max500/328075105.jpg?k=bd39f07d40b9ad571a475a8e701609c5f4da824653ee341927f7ab4cd13b98a2&o=&hp=1,굿|편안함,느린|배수구|서비스 대응|냄새
