region,hotel_index,hotel_name,hotel_link,hotel_img_link
서울,1,콘래드 서울,https://www.booking.com/hotel/kr/conrad-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/12281600.webp?k=db558e2bbe494490c439811b1a8aeeed20943f264313125119d3279665eeb24d&o=&s=1
서울,2,시그니엘,https://www.booking.com/hotel/kr/signiel-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/107527439.webp?k=9c98eafa9d7ff22d3d0917e77fcc65e36c575c3b6e23f8a4c1952d1e4c032701&o=&s=1
서울,3,그랜드 하얏트 서울,https://www.booking.com/hotel/kr/grand-hyatt-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/277872738.webp?k=1d42dccb88cd87d281e0feafa6db5c7f5fa924394081d21bb4be18e430697c5b&o=&s=1
서울,4,소피텔 앰배서더 서울 호텔 & 서비스드 레지던스,https://www.booking.com/hotel/kr/sofitel-ambassador-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/331600864.webp?k=3436f6e2fadf753e9d51cdd3554864f07a45bc0702d9c40fc6039b03e8fb12f3&o=&s=1
서울,5,JW 메리어트 호텔 서울,https://www.booking.com/hotel/kr/jw-marriott-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/164398650.webp?k=12ca7e07891ffac076fb9e5037c30882b589d0061337494ace1f5dcd351bbfb1&o=&s=1
서울,6,그랜드 인터컨티넨탈 서울 파르나스,https://www.booking.com/hotel/kr/grand-intercontinental-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/330992107.webp?k=024653043dd491b71d3895a9fa724ecfa860f494863f43efdb691f36c43b626d&o=&s=1
서울,7,서울 신라호텔,https://www.booking.com/hotel/kr/the-shilla.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/29442405.webp?k=4ffcd12c3d885feb173b9c971cee260e938563ad2fba38d2796bef421c3f87ae&o=&s=1
서울,8,포시즌스 호텔 서울,https://www.booking.com/hotel/kr/four-seasons-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=214170cd68de0352&srepoch=1645372957&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/64401925.webp?k=282276fd70032b3c135482de6dbe93e2ae67b59712f04e79cb8c881fc8101ba0&o=&s=1
서울,9,안다즈 서울 강남,https://www.booking.com/hotel/kr/andaz-seoul-gangnam.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/267596965.webp?k=2f7b4ba551e69154753d867128928206f68fc76644bcd64b1cac2a8b2303f0b4&o=&s=1
서울,10,"조선 팰리스 서울 강남, 럭셔리 컬렉션 호텔",https://www.booking.com/hotel/kr/josun-palace-a-luxury-collection-seoul-gangnam.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/297132204.webp?k=3a39e06eb355d30abad120a2fede8b7a7ccf9bebb7342a42746d2ed1e6dedb79&o=&s=1
서울,11,인터컨티넨탈 서울 코엑스,https://www.booking.com/hotel/kr/coex-intercontinental-seoul.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=383d411d023d02e8&srepoch=1645434941&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square600/269685220.webp?k=c3cfb205400ece3eada926d7c20324743e4beae40217d24a935a211f04898ca6&o=&s=1
