,sentence,cleansed_target,cleansed_stopwords
436,"시설이 깨끗하고 현대적이며 오션뷰가 훌륭함. 반려견 투숙이 가능하고 배려 시설이 많아 강아지와 함께 올 수 있음. 룸 컨디션도 적당히 하루 자고 가기에는 무리가 없음. 라운지바의 분위기가 좋았으며 대체적으로 모든 직원분들이 친절하게 응대해주심. 근처에 편의시설이 많아 단체 관광이나 밤새 신나게 놀러오는 타입의 여행자들, 반려견 동반 여행자들에게는 알맞은 곳일 것 같음.","['시설', '고', '현대', '며', '오션', '뷰', '반려', '견', '투숙', '가능', '고', '배려', '시설', '많', '아', '강아지', '있', '룸', '컨디션', '하루', '자', '고', '가', '무리', '없', '라운지', '분위기', '좋', '으며', '대체', '직원', '친절', '게', '응대', '아', '근처', '편의시설', '많', '아', '단체', '관광', '밤새', '신나', '게', '놀러오', '타입', '여행자', '반려', '견', '동반', '여행자', '알맞', '곳', '같']","['시설', '고', '현대', '며', '오션', '뷰', '반려', '견', '투숙', '가능', '고', '배려', '시설', '아', '강아지', '있', '룸', '컨디션', '하루', '자', '고', '무리', '라운지', '분위기', '으며', '대체', '직원', '친절', '게', '응대', '아', '근처', '편의시설', '아', '단체', '관광', '밤새', '신나', '게', '놀러오', '타입', '여행자', '반려', '견', '동반', '여행자', '알맞', '곳']"
437,위치가 특히 좋아요 편의점 가까운것도 굿,"['위치', '좋', '아요', '편의점', '가깝', '굿']","['위치', '아요', '편의점', '가깝', '굿']"
438,위치 좋고 바로 앞이 바닷가라 산책하기도 좋고 카페도 많아서 좋았어요!,"['위치', '좋', '고', '앞', '바닷가', '라', '산책', '좋', '고', '카페', '많', '아서', '좋']","['위치', '고', '바닷가', '라', '산책', '고', '카페', '아서']"
439,"직원 친철, 청결,  기타 편의시설, 주변 먹걸이, 산책 및  해안  등이 이 호텔의 장점","['직원', '친철', '청결', '기타', '편의시설', '주변', '먹', '걸', '산책', '해안', '호텔', '장점']","['직원', '친철', '청결', '기타', '편의시설', '주변', '먹', '걸', '산책', '해안', '호텔', '장점']"
440,위치만 좋음,"['위치', '좋']",['위치']
441,"바다가 잘 보임, 침대가 넓고 편안함. 직원 응대는 괜찮음. (처음 배정된 방에서 악취가 나서 방 교체 요청했고 금방 처리됨)","['바다', '보이', '침대', '넓', '고', '편안', '직원', '응대', '괜찮', '처음', '배정', '방', '악취', '나서', '어', '방', '교체', '요청', '고', '처리']","['바다', '침대', '넓', '고', '편안', '직원', '응대', '괜찮', '처음', '배정', '방', '악취', '나서', '어', '방', '교체', '요청', '고', '처리']"
442,항상 오션뷰로 예약하는데 방문 할 때마다 뷰가 너무 좋아요ㅜㅜㅜㅜ 그리고 제가 do not disturb 해놓으니까 수건이랑 물 담아서 방문에 걸어주시는 거 너무 좋아요 항상 수건 받으러 가고 그랬는데 알아서 주시니까 훨씬 편리해요 강릉 갈 때 마다 꼭 묵는 곳인데 앞으로도 계속 갈게요!!🥰🥰,"['오션', '뷰로', '예약', '는데', '방문', '하', '때', '뷰', '하', '아', '으니까', '수건', '물', '담', '아서', '방문', '걷', '어', '좋', '아요', '수건', '받', '으러', '가', '고', '그렇', '는데', '알', '아서', '니까', '편리', '아요', '강릉', '가', '때', '말', '다', '묵', '곳', 'ㄴ데', '앞', '가']","['오션', '뷰로', '예약', '는데', '방문', '뷰', '아', '으니까', '수건', '물', '담', '아서', '방문', '걷', '어', '아요', '수건', '으러', '고', '는데', '아서', '니까', '편리', '아요', '강릉', '다', '묵', '곳', 'ㄴ데']"
443,아침식사 좋았습니다.,"['아침', '식사', '좋']","['아침', '식사']"
444,진원분들의친절함,"['진원', '친절']","['진원', '친절']"
445,바다앞이라좋아요,"['바다', '앞', '라', '좋', '아요']","['바다', '라', '아요']"
446,위치가 좋았어요!,"['위치', '좋']",['위치']
447,위치 하나만 좋았네요.,"['위치', '좋']",['위치']
448,위치가 좋고 앞에 해변이 있는 점이 정말 좋았던 부분임,"['위치', '좋', '고', '앞', '해변', '있', '점', '좋', '부분']","['위치', '고', '해변', '있', '부분']"
449,뷰는 좋았어요,"['뷰', '좋', '어요']","['뷰', '어요']"
450,두번째 방문. 처음엔 부분바다전망이었는데 넘 만족스러워서 이번엔 완전 바다전망에 묵었어요. 방에서 바다 실컷 보고 일출도 보고 넘 좋았어요. 호텔 앞에 부대시설 외에 상업시설 없고 소나무숲?이라서 깔끔하고 전경이 정말 예쁨!! 해변가 깔끔해서 좋네요. 아 진짜 오션뷰 하나로도 이미 대만족이라서 10점 만점 11점 주고 싶어요 ㅋㅋㅋ 그리고 스탭분들이 진짜 친절하셔서 감사했어요. 도와주시려고 먼저 다가오시고 뭐 여쭤보면 최선을 다해 알려주심. 여튼 다들 엄청 친절하셔서 넘 좋은 기억으로 남았네요 ㅋㅋ,[],[]
451,위치 및 주변환경이 좋았음.,"['위치', '주변', '환경', '좋']","['위치', '주변', '환경']"
452,대부분이 다 좋았습니다,"['대부분', '좋']",['대부분']
453,"성인 4명이 잠만 자면 됐기 때문에 각자의 침대에서 잘 잘수있었어요. 키오스크를 이용한 체크인 체크아웃도 좋았고, 이런 기계 사용에 익숙하지 않은 사람들을 위한 상시대기 직원분들도 좋았고 가성비 대비 좋았습니다. 감사합니다.","['성인', '잠', '자', '면', '되', '각자', '침대', '잘', '수', '키오스크', '이용', '체크인', '체크아웃', '좋', '고', '기계', '사용', '지', '사람', '위하', '상', '시대', '직원', '좋', '고', '성비', '대비', '좋']","['성인', '잠', '자', '면', '각자', '침대', '키오스크', '이용', '체크인', '체크아웃', '고', '기계', '사용', '상', '시대', '직원', '고', '성비', '대비']"
454,이번엔 마운틴뷰로 했고 일출을 보진 못했지만 괜찮더라고요 간단하게 과일이나 샐러드 세척할 수 있는 곳이 있는 것도 좋았구요~ 수영장도 좋았어요 산책로와 해변도 좋았어여,"['이번', '마운틴', '뷰로', '하', '고', '일출', '보', '지', '지만', '괜찮', '더라고요', '게', '과일', '샐러드', '세척', '있', '곳', '있', '좋', '수영장', '좋', '어요', '산책로', '해변', '좋', '어', '어']","['이번', '마운틴', '뷰로', '고', '일출', '지만', '괜찮', '더라고요', '게', '과일', '샐러드', '세척', '있', '곳', '있', '수영장', '어요', '산책로', '해변', '어', '어']"
455,뷰가 좋았음,"['뷰', '좋']",['뷰']
456,"해변가 바로 앞이라 너무 좋았고, 주변에 편의시설도 잘 되어 있었습니다. 체크인과 체크아웃 모두 셀프로 할 수 있어서 편리합니다. 오션뷰가 탁 트여서 너무 좋았어요.","['해변가', '앞', '라', '좋', '고', '주변', '편의시설', '되', '어', '체크인', '체크아웃', '셀프', '하', '있', '어서', '편리', '오션', '뷰', '트', '아서', '좋']","['해변가', '라', '고', '주변', '편의시설', '어', '체크인', '체크아웃', '셀프', '있', '어서', '편리', '오션', '뷰', '트', '아서']"
457,"두번째 방문이었는데  경포대바로 앞이라 최상의 뷰와  산책하기에 정말 좋은 호텔입니다 워낙 대규모라 주차가 약간 어렵긴 하지만  시설, 청결도는  높은 점수를 줄만함.  다음 강릉 방문시  또 이용할 계획임.","['방문', '는데', '경포대', '앞', '라', '최상', '뷰', '산책', '좋', '호텔', 'ㅂ니다', '대규모', '라', '주차', '어렵', '시설', '청결', '높', '점수', '다음', '강릉', '방문', '이용', '계획']","['방문', '는데', '경포대', '라', '최상', '뷰', '산책', '호텔', 'ㅂ니다', '대규모', '라', '주차', '어렵', '시설', '청결', '높', '점수', '다음', '강릉', '방문', '이용', '계획']"
458,없다,"['없', '다']",['다']
459,항상 좋아요.,['좋'],[]
460,반려 문화가 증가 추세인데 규칙만 잘지키면 모든시설 이용할수있고 오크욕조및 정수기 애견용드라이도 무료 대여해주셔서 백사장에서 뛰어논후 깨끗하게 목욕도 시키고 매우 좋았습니다. 앞으로도 강원도 여행을 갈때는 꼭 이용할거예요,"['반려', '문화', '증가', '추세', 'ㄴ데', '규칙', '지키', '면', '시설', '이용', '고', '오크', '욕조', '정수기', '애견', '드라이', '무료', '대여', '아', '어서', '백사장', '뛰어놀', '후', '게', '목욕', '시키', '고', '좋', '앞', '강원도', '여행', '가', '때', '이용', '에요']","['반려', '문화', '증가', '추세', 'ㄴ데', '규칙', '지키', '면', '시설', '이용', '고', '오크', '욕조', '정수기', '애견', '드라이', '무료', '대여', '아', '어서', '백사장', '뛰어놀', '후', '게', '목욕', '고', '강원도', '여행', '이용', '에요']"
461,수압....? 해변 접근성,"['수압', '해변', '접근']","['수압', '해변', '접근']"
462,위치가 좋았고 시설도 비교적 깨끗하고 뷰도 나쁘지 않고 편의시설이 가까이 있었어요,"['위치', '좋', '고', '시설', '고', '뷰', '나쁘', '지', '고', '편의시설', '어요']","['위치', '고', '시설', '고', '뷰', '나쁘', '고', '편의시설', '어요']"
463,바다 바로 앞이고 시설 깔끔해요,"['바다', '앞', '고', '시설', '어요']","['바다', '고', '시설', '어요']"
464,위치와 청결함 바다가 보이는 하프 오션뷰가 좋았음. 셀프체크인과 체크아웃이 잘되는 것도 좋았음,"['위치', '청결', '바다', '보이', '하프', '오션', '뷰', '좋', '셀프', '체크인', '체크아웃', '좋']","['위치', '청결', '바다', '하프', '오션', '뷰', '셀프', '체크인', '체크아웃']"
465,경포해변이 가까워서 좋아요,"['경포', '해변', '가깝', '어서', '좋', '아요']","['경포', '해변', '가깝', '어서', '아요']"
466,위치가 좋았습니다.,"['위치', '좋']",['위치']
467,호텔의 위치,"['호텔', '위치']","['호텔', '위치']"
468,"디럭스 더블룸 오션뷰 예약했는데요~ 오션뷰가 정말 너무 좋았어요. 호텔내부도 쾌적하니 잘 쉬다 온 것 같습니다. 도보로 편의시설이 좋아 멀리 안나가도 되는점이 가장 큰 장점이었어요. 호탤내에 편의점,밀탑,오빠닭,피자에땅 이있어 편리하게 이용했어요. 그리고 주말 체크인할때 오래걸린다고 하셨는데 토요일 오후4시 체크인할때 셀프체크인으로 20분 정도로 쉽게했어요. 도움주시는분들 때문에 금방 한것 같아요. 또 가고싶어요!!","['디럭스', '더블', '룸', '오션', '뷰', '예약', '오션', '뷰', '좋', '호텔', '내부', '니', '쉬', '다', '오', '같', '도보', '편의시설', '좋', '아', '나가', '아도', '되', '크', '장점', '태', '편의점', '밀', '탑', '오빠', '닭', '피자', '땅', '있', '어', '편리', '게', '이용', '주말', '체크인', '때', '걸리', 'ㄴ다고', '하', '는데', '토요일', '오후', '체크인', '때', '셀프', '체크인', '정도', '쉽', '게', '도움', '주시', '같', '가', '고']","['디럭스', '더블', '룸', '오션', '뷰', '예약', '오션', '뷰', '호텔', '내부', '니', '쉬', '다', '도보', '편의시설', '아', '나가', '아도', '장점', '태', '편의점', '밀', '탑', '오빠', '닭', '피자', '땅', '있', '어', '편리', '게', '이용', '주말', '체크인', '걸리', 'ㄴ다고', '는데', '토요일', '오후', '체크인', '셀프', '체크인', '쉽', '게', '도움', '주시', '고']"
469,반려견 동반 가능한 점,"['반려', '견', '동반', '점']","['반려', '견', '동반']"
470,아쉬운것 빼고 진짜다좋아요 건물1층에다있어서편리,"['아쉽', '빼', '고', '좋', '아요', '건물', '다', '어서', '편리']","['아쉽', '빼', '고', '아요', '건물', '다', '어서', '편리']"
471,일단 바다뷰가 보이는 방이라 1박이지만 해돋이를 볼수 있는 기회를 갖게 되어 너무 뿌듯했다 그리고 처음으로 울집 반려견 누리와의 첫 동반 호텔여행은 대만족이다 주변 카페와 저녁식사에도 동반해서 갈수 있어서 너무 좋았다 1박2일이 이지만 2박 3일인냥 누릴 좋은시간을 보내고 온 알찬 여행이었다 마지막으로 3인용 바이크 대여해서 울 세가족과 누리가 함께 해변을 따라 도로를 달린것도 참 행복한 시간이었다,"['바다', '뷰', '보이', '방', '라', '지만', '해돋이', '보', '있', '기회', '갖', '게', '되', '어', '다', '처음', '집', '반려', '견', '누리', '동반', '호텔', '여행', '만족', '다', '주변', '카페', '저녁', '식사', '동반', '아서', '갈수', '있', '어서', '좋', '다', '박', '지만', '박', '누리', '좋', '시간', '보내', '고', '오', '알차', '여행', '다', '마지막', '인용', '바이크', '대여', '아서', '가족', '누리', '해변', '따르', '아', '도로', '달리', '행복', '시간', '다']","['바다', '뷰', '방', '라', '지만', '해돋이', '있', '기회', '갖', '게', '어', '다', '처음', '반려', '견', '누리', '동반', '호텔', '여행', '만족', '다', '주변', '카페', '저녁', '식사', '동반', '아서', '갈수', '있', '어서', '다', '박', '지만', '박', '누리', '보내', '고', '알차', '여행', '다', '마지막', '인용', '바이크', '대여', '아서', '가족', '누리', '해변', '아', '도로', '달리', '행복', '다']"
472,"침대가드,아기욕조,유아용 변기커버 대여가능","['침대', '드', '아기', '욕조', '유아', '변기', '커버', '대여', '가능']","['침대', '드', '아기', '욕조', '유아', '변기', '커버', '대여', '가능']"
473,바다와 가깝고 주변 시설들이 많아서 좋았어요,"['바다', '가깝', '고', '주변', '시설', '많', '아서', '좋', '어요']","['바다', '가깝', '고', '주변', '시설', '아서', '어요']"
474,눈으로 보이는 실내 공간이 군더더기 없이 깔끔한 느낌 .  위치가 좋은 점  일회용품을 줄이기 위해 기본 제공되는 샴푸 등이 다회용인 점.,"['눈', '보이', '실내', '공간', '군더더기', '느낌', '위치', '좋', '점', '일회용품', '줄이', '위하', '아', '기본', '제공', '샴푸', '다회', '점']","['눈', '실내', '공간', '군더더기', '느낌', '위치', '일회용품', '줄이', '아', '기본', '제공', '샴푸', '다회']"
475,아침에 비라본 바닷가에  풍경과  일몰이  ᆢ,[],[]
476,침구편함,"['침구', '편']","['침구', '편']"
477,위치굿 아침 미지근하나 맛은 괜찮,"['위치', '굿', '아침', '나', '맛', '괜찮']","['위치', '굿', '아침', '맛', '괜찮']"
478,넓은 침대 오션뷰,"['넓', '침대', '오션', '뷰']","['넓', '침대', '오션', '뷰']"
479,조식이 매우 훌륭했습니다. 서비스가 좋았습니다.,"['조식', '서비스', '좋']","['조식', '서비스']"
480,뷰가 너무 좋았다 ᆢ,[],[]
481,침구가 편안하고 좋았어요. 위치도 좋아서 바다랑 송림을 즐길수 있고 경포대쪽도 가까워서 걸어다니기 좋았습니다.,"['침구', '편안', '고', '좋', '위치', '좋', '아서', '바다', '송림', '즐기', '있', '고', '경포대', '가깝', '어서', '걸어다니', '좋']","['침구', '편안', '고', '위치', '아서', '바다', '송림', '즐기', '있', '고', '경포대', '가깝', '어서', '걸어다니']"
482,우선 일회용품 줄이는 운동에 함께하는 점이 좋았습니다! 객실도 깨끗하고 아늑했어요! 뷰도 촤고였습니다! 다음에 또 오고싶어요,"['일회용품', '줄이', '운동', '점', '좋', '객실', '고', '뷰', '다음', '오', '고', '어요']","['일회용품', '줄이', '운동', '객실', '고', '뷰', '다음', '고', '어요']"
483,반려동물과 함께 할 수 있는 시스템이라 그 점은 매우 만족합니다.,"['반려', '동물', '하', '있', '시스템', '라', '점', '만족']","['반려', '동물', '있', '시스템', '라', '만족']"
484,숙박때 마다 항상 기분 좋아요. 또 갈꺼예요.,"['숙박', '때', '말', '다', '기분', '좋', '가']","['숙박', '다', '기분']"
485,"깔끔, 편의시설 및 먹거리 충분, 오션뷰 강추~","['편의시설', '먹거리', '오션', '뷰', '강추']","['편의시설', '먹거리', '오션', '뷰', '강추']"
486,우선 방에서 보는 경치가 너무 좋았고 강아지를 위한 서비스와 시설이 너무 잘되어있어서 편안하게 지낼 수 있었습니다. 직원분들도 친절하셨어요. 재방문 의사 100% 입니다.,"['방', '보', '경치', '좋', '고', '강아지', '위하', '서비스', '시설', '어', '어서', '편안', '게', '지내', '직원', '친절', '방문', '의사']","['방', '경치', '고', '강아지', '서비스', '시설', '어', '어서', '편안', '게', '지내', '직원', '친절', '방문', '의사']"
